dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,110.554030,275.376235,0.000032,0.003168,0.158382,7.919120,6.282981
0.020000,110.554023,275.376235,0.000038,0.000317,-0.142551,-15.046693,6.282981
0.020000,110.554009,275.376235,0.000052,0.000712,0.019788,8.116977,6.282983
0.020000,110.553984,275.376235,0.000078,0.001266,0.027702,0.395676,6.282985
0.020000,110.553944,275.376235,0.000117,0.001979,0.035612,0.395544,6.282988
0.020000,110.553887,275.376235,0.000174,0.002849,0.043519,0.395329,6.282993
0.020000,110.553810,275.376235,0.000252,0.003877,0.051419,0.395009,6.282999
0.020000,110.553708,275.376235,0.000353,0.005064,0.059310,0.394563,6.283008
0.020000,110.553580,275.376235,0.000481,0.006407,0.067190,0.393970,6.283018
0.020000,110.553422,275.376235,0.000639,0.007909,0.075054,0.393210,6.283032
0.020000,110.553231,275.376235,0.000831,0.009567,0.082899,0.392261,6.283047
0.020000,110.553003,275.376235,0.001058,0.011381,0.090721,0.391103,6.283066
0.020000,110.552736,275.376235,0.001325,0.013351,0.098516,0.389714,6.283089
0.020000,110.552426,275.376235,0.001635,0.015477,0.106277,0.388074,6.283114
0.020000,110.552071,275.376235,0.001990,0.017757,0.114000,0.386161,6.283144
0.020000,110.551667,275.376235,0.002394,0.020190,0.121679,0.383955,6.283178
0.020000,110.558543,275.376235,0.009269,0.343758,16.178389,802.835459,0.000030
0.020000,110.568296,275.376236,0.019022,0.487644,7.194291,-449.204906,0.000073
0.020000,110.579163,275.376237,0.029889,0.543359,2.785731,-220.427961,0.000120
0.020000,110.591205,275.376239,0.041931,0.602092,2.936694,7.548158,0.000173
0.020000,110.604481,275.376241,0.055208,0.663845,3.087621,7.546343,0.000230
0.020000,110.619054,275.376245,0.069780,0.728619,3.238714,7.554640,0.000294
0.020000,110.634982,275.376250,0.085708,0.796421,3.390089,7.568767,0.000363
0.020000,110.652327,275.376257,0.103053,0.867247,3.541296,7.560352,0.000438
0.020000,110.671149,275.376266,0.121875,0.941100,3.692678,7.569071,0.000519
0.020000,110.691509,275.376278,0.142235,1.017990,3.844471,7.589677,0.000607
0.020000,110.713467,275.376292,0.164193,1.097906,3.995790,7.565945,0.000701
0.020000,110.737084,275.376310,0.187811,1.180867,4.148060,7.613495,0.000803
0.020000,110.762422,275.376332,0.213148,1.266860,4.299661,7.580024,0.000911
