dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,110.551577,263.376235,0.000032,0.003168,0.158382,7.919120,6.282981
0.020000,110.551577,263.376235,0.000158,0.009503,0.316765,7.919120,6.282981
0.020000,110.551577,263.376235,0.000443,0.019006,0.475147,7.919120,6.282983
0.020000,110.551577,263.376235,0.000950,0.031676,0.633530,7.919120,6.282985
0.020000,110.551577,263.376235,0.001742,0.047515,0.791912,7.919120,6.282988
0.020000,110.551577,263.376235,0.002883,0.066521,0.950294,7.919120,6.282993
0.020000,110.551577,263.376235,0.004435,0.088694,1.108677,7.919120,6.282999
0.020000,110.551577,263.376235,0.006462,0.114035,1.267059,7.919120,6.283008
0.020000,110.551577,263.376235,0.009028,0.142544,1.425442,7.919120,6.283018
0.020000,110.551577,263.376235,0.012195,0.174221,1.583824,7.919120,6.283032
0.020000,110.551577,263.376235,0.016028,0.209065,1.742206,7.919120,6.283047
0.020000,110.551577,263.376235,0.020590,0.247077,1.900589,7.919120,6.283066
0.020000,110.551577,263.376235,0.025943,0.288256,2.058971,7.919120,6.283089
0.020000,110.551577,263.376235,0.032152,0.332603,2.217354,7.919120,6.283114
0.020000,110.551577,263.376235,0.039279,0.380118,2.375736,7.919120,6.283144
0.020000,110.551577,263.376235,0.047388,0.430800,2.534118,7.919120,6.283178
0.020000,110.558907,263.376235,0.056543,0.484650,2.692501,7.919120,0.000030
0.020000,110.569171,263.376236,0.066806,0.541668,2.850883,7.919120,0.000073
0.020000,110.580606,263.376237,0.078241,0.601853,3.009266,7.919120,0.000120
0.020000,110.593276,263.376239,0.090912,0.665206,3.167648,7.919120,0.000173
0.020000,110.607246,263.376242,0.104881,0.731727,3.326031,7.919120,0.000230
0.020000,110.622577,263.376246,0.120212,0.801415,3.484413,7.919120,0.000294
0.020000,110.639334,263.376251,0.136969,0.874271,3.642795,7.919120,0.000363
0.020000,110.657580,263.376259,0.155215,0.950294,3.801178,7.919120,0.000438
0.020000,110.677377,263.376268,0.175013,1.029486,3.959560,7.919120,0.000519
0.020000,110.698791,263.376280,0.196426,1.111844,4.117943,7.919120,0.000607
0.020000,110.721883,263.376295,0.219518,1.197371,4.276325,7.919120,0.000701
0.020000,110.746717,263.376314,0.244352,1.286065,4.434707,7.919120,0.000803
0.020000,110.773357,263.376337,0.270992,1.377927,4.593090,7.919120,0.000911
0.020000,110.801866,263.376364,0.299501,1.472956,4.751472,7.919120,0.001027
0.020000,110.832307,263.376397,0.329942,1.571153,4.909855,7.919120,0.001151
0.020000,110.864744,263.376437,0.362379,1.672518,5.068237,7.919120,0.001282
0.020000,110.899239,263.376484,0.396875,1.777051,5.226619,7.919120,0.001421
0.020000,110.935857,263.376538,0.433493,1.884751,5.385002,7.919120,0.001568
0.020000,110.974661,263.376602,0.472296,1.995618,5.543384,7.919120,0.001724
0.020000,111.015714,263.376676,0.513349,2.109654,5.701767,7.919120,0.001888
0.020000,111.059079,263.376762,0.556714,2.226857,5.860149,7.919120,0.002060
0.020000,111.104819,263.376860,0.602455,2.347227,6.018531,7.919120,0.002241
0.020000,111.152999,263.376973,0.650635,2.470766,6.176914,7.919120,0.002431
0.020000,111.203681,263.377101,0.701317,2.597471,6.335296,7.919120,0.002631
0.020000,111.256929,263.377247,0.754565,2.727345,6.493679,7.919120,0.002839
0.020000,111.312806,263.377411,0.810443,2.860386,6.652061,7.919120,0.003056
0.020000,111.371376,263.377597,0.869013,2.996595,6.810443,7.919120,0.003283
0.020000,111.432701,263.377806,0.930338,3.135972,6.968826,7.919120,0.003519
0.020000,111.496846,263.378039,0.994483,3.278516,7.127208,7.919120,0.003765
0.020000,111.563873,263.378300,1.061511,3.424228,7.285591,7.919120,0.004020
0.020000,111.633845,263.378591,1.131484,3.573107,7.443973,7.919120,0.004285
0.020000,111.706827,263.378913,1.204467,3.725154,7.602355,7.919120,0.004559
0.020000,111.782882,263.379271,1.280522,3.880369,7.760738,7.919120,0.004843
0.020000,111.862072,263.379666,1.359713,4.038751,7.919120,7.919120,0.005136
0.020000,111.944461,263.380102,1.442103,4.200301,8.077503,7.919120,0.005439
0.020000,112.030113,263.380581,1.527757,4.365019,8.235885,7.919120,0.005751
0.020000,112.119091,263.381107,1.616736,4.532904,8.394268,7.919120,0.006073
0.020000,112.211458,263.381683,1.709105,4.703957,8.552650,7.919120,0.006404
0.020000,112.307277,263.382313,1.804926,4.878178,8.711032,7.919120,0.006745
0.020000,112.406612,263.383001,1.904263,5.055566,8.869415,7.919120,0.007094
0.020000,112.509526,263.383749,2.007180,5.236122,9.027797,7.919120,0.007453
0.020000,112.616083,263.384563,2.113740,5.419846,9.186180,7.919120,0.007820
0.020000,112.726345,263.385446,2.224006,5.606737,9.344562,7.919120,0.008196
0.020000,112.840376,263.386403,2.338041,5.796796,9.502944,7.919120,0.008580
0.020000,112.958240,263.387437,2.455909,5.990023,9.661327,7.919120,0.008973
0.020000,113.079999,263.388554,2.577674,6.186417,9.819709,7.919120,0.009373
0.020000,113.205717,263.389759,2.703398,6.385979,9.978092,7.919120,0.009781
0.020000,113.335458,263.391055,2.833144,6.588708,10.136474,7.919120,0.010197
0.020000,113.469284,263.392448,2.966978,6.794605,10.294856,7.919120,0.010619
0.020000,113.607258,263.393942,3.104960,7.003670,10.453239,7.919120,0.011048
