dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,110.549124,251.376236,0.000032,0.003168,0.158382,7.919120,6.282981
0.020000,110.549130,251.376236,0.000038,0.000317,-0.142551,-15.046693,6.282981
0.020000,110.549144,251.376236,0.000052,0.000712,0.019788,8.116977,6.282983
0.020000,110.549170,251.376236,0.000078,0.001266,0.027702,0.395676,6.282985
0.020000,110.549209,251.376236,0.000117,0.001979,0.035612,0.395544,6.282988
0.020000,110.549266,251.376236,0.000174,0.002849,0.043519,0.395329,6.282993
0.020000,110.549344,251.376236,0.000252,0.003877,0.051419,0.395009,6.282999
0.020000,110.549445,251.376235,0.000353,0.005064,0.059310,0.394563,6.283008
0.020000,110.549573,251.376235,0.000481,0.006407,0.067190,0.393970,6.283018
0.020000,110.549731,251.376235,0.000639,0.007909,0.075054,0.393210,6.283032
0.020000,110.549923,251.376235,0.000831,0.009567,0.082899,0.392261,6.283047
0.020000,110.550150,251.376235,0.001058,0.011381,0.090721,0.391103,6.283066
0.020000,110.550417,251.376235,0.001325,0.013351,0.098516,0.389714,6.283089
0.020000,110.550727,251.376235,0.001635,0.015477,0.106277,0.388074,6.283114
0.020000,110.551082,251.376235,0.001990,0.017757,0.114000,0.386161,6.283144
0.020000,110.551486,251.376235,0.002394,0.020190,0.121679,0.383955,6.283178
0.020000,110.559272,251.376235,0.010180,0.389311,18.456036,916.717846,0.000030
0.020000,110.570046,251.376236,0.020953,0.538672,7.468047,-549.399464,0.000073
0.020000,110.582049,251.376237,0.032957,0.600162,3.074504,-219.677143,0.000120
0.020000,110.595348,251.376239,0.046256,0.664969,3.240338,8.291710,0.000173
0.020000,110.610010,251.376242,0.060918,0.733088,3.405964,8.281300,0.000230
0.020000,110.626100,251.376246,0.077008,0.804520,3.571588,8.281175,0.000294
0.020000,110.643686,251.376252,0.094594,0.879266,3.737319,8.286557,0.000363
0.020000,110.662832,251.376260,0.113740,0.957319,3.902641,8.266080,0.000438
0.020000,110.683606,251.376270,0.134513,1.038677,4.067911,8.263507,0.000519
0.020000,110.706073,251.376282,0.156980,1.123345,4.233371,8.272990,0.000607
0.020000,110.730299,251.376298,0.181206,1.211305,4.398019,8.232442,0.000701
0.020000,110.756350,251.376318,0.207258,1.302573,4.563408,8.269402,0.000803
